item_id,count,name
1,18,Tea Kettle
2,85,Glasses
3,1,Coffee Maker
4,117,Lamp
5,71,Shampoo
6,76,TV Remote
7,39,Pillow
8,72,Lamp
9,145,Shaving Kit
10,83,Reading Lamp
11,144,Sewing Kit
12,40,Soap
13,97,Bath Mat
14,9,Wall Art
15,133,Mini Fridge
16,58,Toothpaste
17,200,Desk Lamp
18,100,Tea Kettle
19,191,Hanger
20,54,Conditioner
21,41,Pen
22,134,Pen
23,64,Room Service Menu
24,160,Hair Dryer
25,118,Conditioner
26,118,Slippers
27,142,Iron
28,122,Slippers
29,11,Duvet Cover
30,152,Slippers
31,68,Floor Mat
32,49,Tea Kettle
33,45,Conditioner
34,177,Laundry Bag
35,147,Mirror
36,90,Sewing Kit
37,147,Duvet Cover
38,4,Mirror
39,123,Hand Towel
40,86,Shampoo
41,56,Closet
42,152,Room Service Menu
43,178,Safe Box
44,179,Hand Towel
45,55,Alarm Clock
46,127,Toothpaste
47,44,Lamp
48,137,Alarm Clock
49,89,Alarm Clock
50,137,Washcloth
